club_name,avg_overall,n_players
Radomiak Radom,62.03846153846154,26
Al Faisaly,62.03333333333333,30
Dundee United,62.0,28
Cheltenham Town,62.0,21
St. Johnstone FC,61.964285714285715,28
Odense Boldklub,61.96153846153846,26
FC Lausanne-Sport,61.92857142857143,28
Sportclub Verl,61.92857142857143,28
FC Würzburger Kickers,61.92,25
Deportivo Pasto,61.90909090909091,22
Deportivo Cali,61.888888888888886,27
WSG Tirol,61.88461538461539,26
Dundee FC,61.88,25
Al Raed,61.86666666666667,30
Al Taawoun,61.857142857142854,28
SønderjyskE,61.851851851851855,27
Harrogate Town,61.8421052631579,19
FC Seoul,61.82142857142857,28
Pohang Steelers,61.82142857142857,28
Livingston FC,61.81481481481482,27
Club Atlético Rentistas,61.80769230769231,26
Morecambe,61.80769230769231,26
Bristol Rovers,61.785714285714285,28
Rapid București,61.75,28
SV Ried,61.75,28
Guayaquil City FC,61.73913043478261,23
Ettifaq FC,61.724137931034484,29
FC U Craiova 1948,61.7037037037037,27
Plymouth Argyle,61.666666666666664,27
Östersunds FK,61.666666666666664,24
Port Vale,61.65384615384615,26
Centro Atlético Fénix,61.65,20
FC Voluntari,61.642857142857146,28
PGE FKS Stal Mielec,61.642857142857146,28
Milton Keynes Dons,61.64,25
Strømsgodset IF,61.625,24
Lincoln City,61.6,25
FC Botoşani,61.57142857142857,28
IF Elfsborg,61.541666666666664,24
Melbourne City FC,61.541666666666664,24
Vålerenga Fotball,61.52173913043478,23
FC Dinamo 1948 Bucureşti,61.464285714285715,28
Örebro SK,61.44,25
Adelaide United,61.375,24
Campionii FC Arges,61.357142857142854,28
Odds BK,61.34615384615385,26
Ross County FC,61.30434782608695,23
Sociedad Deportiva Aucas,61.30434782608695,23
CD Huachipato,61.2962962962963,27
Gangwon FC,61.285714285714285,28
FK Haugesund,61.23809523809524,21
Kalmar FF,61.22727272727273,22
Al Fayha,61.2,30
Fleetwood Town,61.19230769230769,26
FC St. Gallen 1879,61.17857142857143,28
Seraing,61.17857142857143,28
Seongnam FC,61.142857142857146,28
Forest Green Rovers,61.13636363636363,22
Walsall,61.125,24
Academia Puerto Cabello,61.111111111111114,27
Aragua Fútbol Club,61.107142857142854,28
Al Batin,61.07692307692308,26
Bradford City,61.074074074074076,27
Bruk-Bet Termalica Nieciecza,61.07142857142857,28
AFC UTA Arad,61.03703703703704,27
Lillestrøm SK,61.0,25
Daegu FC,60.892857142857146,28
Perth Glory,60.86363636363637,22
Górnik Łęczna,60.857142857142854,28
TSV Havelse,60.851851851851855,27
Borussia Dortmund II,60.80769230769231,26
FC Nordsjælland,60.80769230769231,26
Stevenage,60.791666666666664,24
FC Academica Clinceni,60.785714285714285,28
Shenzhen FC,60.77777777777778,27
Tromsø IL,60.77777777777778,27
Beijing Guoan FC,60.75,28
Tranmere Rovers,60.75,28
Crewe Alexandra,60.74074074074074,27
AFC Wimbledon,60.73076923076923,26
Sandefjord Fotball,60.714285714285715,28
Warta Poznań,60.67857142857143,28
Henan Songshan Longmen FC,60.607142857142854,28
Shamrock Rovers,60.59090909090909,22
Barrow,60.57692307692308,26
Abha Club,60.55172413793103,29
Accrington Stanley,60.535714285714285,28
Cambridge United,60.52,25
Al Fateh,60.464285714285715,28
Al Hazem,60.4,30
Newport County,60.392857142857146,28
Degerfors IF,60.36,25
FC Viktoria 1889 Berlin,60.32142857142857,28
Oldham Athletic,60.32,25
Viborg FF,60.30769230769231,26
Salford City,60.285714285714285,28
Cerro Largo Fútbol Club,60.25,20
Silkeborg IF,60.214285714285715,28
Western United FC,60.07692307692308,26
Wrexham AFC,60.074074074074076,27
Varbergs BoIS FC,60.035714285714285,28
Colchester United,60.0,28
CS Mioveni,60.0,27
Dundalk FC,60.0,25
Leyton Orient,60.0,23
Changchun Yatai FC,59.964285714285715,28
Exeter City,59.96296296296296,27
Swindon Town,59.92,25
Hartlepool United,59.916666666666664,24
Halmstads BK,59.91304347826087,23
Rochdale,59.88,25
Melbourne Victory,59.851851851851855,27
Al Tai,59.8,30
Guangzhou City,59.77777777777778,27
IK Sirius,59.76923076923077,26
Mansfield Town,59.535714285714285,28
Carlisle United,59.52,25
Newcastle Jets,59.5,22
AC Mineros de Guayana,59.416666666666664,24
Mjällby AIF,59.285714285714285,28
Wuhan FC,59.285714285714285,28
Crawley Town,59.17857142857143,28
Shijiazhuang Ever Bright F.C.,58.92857142857143,28
St. Patrick's Athletic,58.8,25
Central Coast Mariners,58.76190476190476,21
Sutton United,58.61538461538461,26
SC Freiburg II,58.57142857142857,28
Scunthorpe United,58.55555555555556,27
Mjøndalen IF,58.53846153846154,26
ATK Mohun Bagan FC,58.52173913043478,23
Brisbane Roar,58.52173913043478,23
Dalian Professional Football Club,58.392857142857146,28
Hebei FC,57.92857142857143,28
Mumbai City FC,57.72727272727273,22
Bohemian FC,57.72,25
Tianjin Jinmen Tiger FC,57.107142857142854,28
Sligo Rovers,56.964285714285715,28
Qingdao FC,56.857142857142854,28
Jamshedpur FC,56.68181818181818,22
Kerala Blasters FC,56.64,25
Bengaluru FC,56.5,28
FC Goa,56.407407407407405,27
Chennaiyin FC,56.32142857142857,28
Hyderabad FC,55.714285714285715,28
Drogheda United,55.67857142857143,28
Chongqing Liangjiang Athletic,55.42857142857143,28
Finn Harps,55.30769230769231,26
Waterford FC,55.214285714285715,28
Derry City,55.03846153846154,26
Odisha FC,54.857142857142854,28
SC East Bengal FC,54.25925925925926,27
NorthEast United FC,53.95238095238095,21
Longford Town,53.68,25
